aaa	T01445	Acidovorax avenae
pxy	T03915	Plutella xylostella (diamondback moth)
pya	T01543	Pyrococcus yayanosii
pyc	T04365	Pyrococcus kukulkanii
pye	T04781	Paracoccus yeei
pyg	T04810	Paenibacillus yonginensis
pym	T05821	Pseudomonas yamanorum
pyn	T01487	Pyrococcus sp. NA2
pyo	T01035	Plasmodium yoelii
pyr	T01670	Pyrobaculum ferrireducens
pys	T02124	Pyrococcus sp. ST04
pyw	T04013	Pyrobaculum sp. WP30
pzh	T05233	Paracoccus zhejiangensis
pzi	T05675	Candidatus Phytoplasma ziziphi
pzu	T00750	Phenylobacterium zucineum
qsu	T05868	Quercus suber (cork oak)
raa	T01850	Rahnella aquatilis HX2
rab	T04237	Rickettsia amblyommatis Ac37
rac	T04655	Rhodoferax antarcticus
rae	T02438	Riemerella anatipestifer RA-CH-2
raf	T00979	Rickettsia africae
rag	T02331	Riemerella anatipestifer RA-CH-1
rah	T01422	Rahnella sp. Y9602
rai	T02107	Riemerella anatipestifer ATCC 11845 = DSM 15868
raj	T05268	Rothia aeria
rak	T00601	Rickettsia akari
ral	T01387	Ruminococcus albus
ram	T01787	Rickettsia amblyommatis GAT-30V
ran	T01363	Riemerella anatipestifer ATCC 11845 = DSM 15868
rao	T05540	Raoultella sp. X13
raq	T01770	Rahnella aquatilis CIP 78.65 = ATCC 33071
rar	T02007	Riemerella anatipestifer RA-GD
rat	T03250	Riemerella anatipestifer CH3
rau	T01783	Rickettsia australis
rav	T03876	Rhodococcus aetherivorans
rba	T00134	Rhodopirellula baltica
rbar	T04780	Rhodothermaceae bacterium RA
rbb	T04641	Rhinopithecus bieti (black snub-nosed monkey)
rbc	T03205	Mucinivorans hirudinis
rbe	T00339	Rickettsia bellii RML369-C
rbg	T05218	Rhodobaca barguzinensis
rbh	T05394	Rhodocyclaceae bacterium Thauera-like
rbi	T00992	Robiginitalea biformata
rbl	T05669	Rhodobacter blasticus
rbm	T04419	Rhizobiales bacterium NRL2
rbn	T04092	Rubrivivax benzoatilyticus
rbo	T00602	Rickettsia bellii OSU 85-389
rbp	T04880	Ruminococcaceae bacterium CPB6
rbs	T05596	Rhodobiaceae bacterium SMS8
rbt	T03234	Rickettsiales bacterium Ac37b
rbu	T03689	Rugosibacter aromaticivorans
rby	T05830	Rhodococcus biphenylivorans
rbz	T05514	Rhodobacteraceae bacterium G7
rca	T00585	Roseiflexus castenholzii
rcc	T01736	Rickettsia canadensis CA410
rce	T00785	Rhodospirillum centenum
rch	T02600	Ruminococcus champanellensis
rci	T00526	Methanocella arvoryzae
rcm	T00603	Rickettsia canadensis McKiel
rco	T00061	Rickettsia conorii
rcp	T01213	Rhodobacter capsulatus
rcu	T01087	Ricinus communis (castor bean)
rde	T00376	Roseobacter denitrificans
rdi	T05084	Rhizorhabdus dicambivorans
rdn	T01343	Rothia dentocariosa
rdp	T04166	Roseateles depolymerans
reb	T03842	Rhodococcus erythropolis BG43
rec	T00720	Rhizobium etli CIAT 652
red	T03060	Roseibacterium elongatum
reh	T00416	Cupriavidus necator H16
rei	T03310	Rhizobium sp. IE4771
rel	T02778	Rhizobium etli bv. mimosae Mim1
ren	T05750	Rickettsiales endosymbiont of Stachyamoeba lipophora
rep	T03667	Rhizobium etli bv. phaseoli IE4803
req	T01352	Rhodococcus hoagii
rer	T00881	Rhodococcus erythropolis PR4
ret	T00317	Rhizobium etli CFN 42
reu	T00268	Cupriavidus pinatubonensis JMP134
rey	T02806	Rhodococcus erythropolis CCM2595
rez	T05681	Rhizobium esperanzae
rfa	T04328	Rhodococcus fascians
rfe	T00252	Rickettsia felis
rfo	T05208	Reinekea forsetii
rfr	T00334	Rhodoferax ferrireducens
rga	T03539	Rhizobium gallicum
rge	T01803	Rubrivivax gelatinosus
rgi	T04615	Roseomonas gilardii
rgu	T04831	Rhizobacter gummiphilus
rha	T00382	Rhodococcus jostii
rhb	T03776	Rhodococcus sp. B7740
rhc	T04813	Rhodovulum sp. P5
rhd	T02495	Rhodanobacter denitrificans
rhe	T01587	Rickettsia heilongjiangensis
rhh	T05923	Rheinheimera sp. D18
rhi	T00888	Sinorhizobium fredii NGR234
rhk	T05501	Rhizobium sp. Kim5
rhl	T03046	Rhizobium favelukesii
rhm	T04771	Rhodovulum sp. MB263
rhn	T04420	Rhizobium sp. N1341
rho	T01621	Roseburia hominis
rhod	T05462	Rhodococcus sp. 008
rhp	T04631	Rhodobacter sp. LPB0142
rhq	T05434	Rhodococcus sp. p52
rhs	T05030	Rhodococcus sp. PBTS 2
rht	T04765	Rhizobium sp. NT-26
rhu	T05182	Rhodococcus sp. PBTS 1
rhv	T05451	Rhizobium sp. S41
rhw	T04814	Rhodococcus sp. WMMA185
rhx	T04809	Rhizobium sp. N731
rhy	T04721	Rhodoferax koreense
rhz	T04290	Rhodoplanes sp. Z2-YC6860
ria	T05878	Rathayibacter iranicus
ric	T05695	Rickettsia sp. MEAM1 (Bemisia tabaci)
rig	T04782	Candidatus Riesia sp. GBBU
rim	T02598	Roseburia intestinalis M50/1
rin	T04471	Ralstonia insidiosa
rip	T01218	Candidatus Riesia pediculicola
rir	T02867	Rhizobium sp. IRBG74
riv	T02364	Rivularia sp. PCC 7116
rix	T02597	Roseburia intestinalis XB6B4
rja	T01637	Rickettsia japonica
rjg	T05891	Rhizobium jaguaris
rla	T03203	Rhodoluna lacicola
rlb	T03009	Rhizobium leguminosarum bv. trifolii WSM1689
rle	T00402	Rhizobium leguminosarum bv. viciae 3841
rlg	T00926	Rhizobium leguminosarum bv. trifolii WSM1325
rli	T01572	Roseobacter litoralis
rlt	T00779	Rhizobium leguminosarum bv. trifolii WSM2304
rlu	T03015	Rhizobium leguminosarum bv. trifolii CB782
rma	T00438	Candidatus Ruthia magnifica (Calyptogena magnifica)
rmb	T04367	Epibacterium mobile
rmc	T03824	Rickettsia monacensis
rme	T00351	Cupriavidus metallidurans
rmg	T01606	Rhodothermus marinus SG0.5JP17-172
rmi	T01758	Rickettsia massiliae AZT80
rmm	T04779	Roseovarius mucosus
rmn	T03778	Ralstonia mannitolilytica
rmo	T01784	Rickettsia montanensis
rmr	T01119	Rhodothermus marinus DSM 4252
rms	T00605	Rickettsia massiliae MTU5
rmu	T01144	Rothia mucilaginosa
rno	T01003	Rattus norvegicus (rat)
roa	T03071	Rhodococcus opacus PD630
rob	T02605	Blautia obeum
rok	T05517	Roseovarius sp. AK1035
ron	T03629	Raoultella ornithinolytica S12
rop	T00882	Rhodococcus opacus B4
ror	T02625	Raoultella ornithinolytica B6
ros	T05160	Roseomonas sp. FDAARGOS_362
rox	T05331	Rahnella sp. ERMR1:05
rpa	T00153	Rhodopseudomonas palustris CGA009
rpb	T00321	Rhodopseudomonas palustris HaA2
rpc	T00336	Rhodopseudomonas palustris BisB18
rpd	T00345	Rhodopseudomonas palustris BisB5
rpe	T00400	Rhodopseudomonas palustris BisA53
rpf	T00925	Ralstonia pickettii 12D
rpg	T01791	Rickettsia prowazekii GvV257
rph	T01759	Rickettsia philipii
rpha	T04590	Rhizobium phaseoli
rpi	T00762	Ralstonia pickettii 12J
rpj	T03172	Ralstonia pickettii DTP0602
rpk	T00907	Rickettsia peacockii
rpl	T02543	Rickettsia prowazekii Breinl
rpla	T04564	Candidatus Rhodoluna planktonica
rpln	T05298	Raoultella planticola
rpm	T01851	Pararhodospirillum photometricum
rpn	T02544	Rickettsia prowazekii NMRC Madrid E
rpne	T05800	Rodentibacter pneumotropicus
rpo	T01788	Rickettsia prowazekii BuV67-CWPP
rpod	T05862	Roseitalea porphyridii
rpp	T01785	Rickettsia parkeri
rpq	T01977	Rickettsia prowazekii Rp22
rpr	T00018	Rickettsia prowazekii Madrid E
rps	T01792	Rickettsia prowazekii Katsinyian
rpt	T00722	Rhodopseudomonas palustris TIE-1
rpu	T05645	Ralstonia pseudosolanacearum
rpv	T01793	Rickettsia prowazekii RpGvF24
rpw	T01789	Rickettsia prowazekii Chernikova
rpx	T01381	Rhodopseudomonas palustris DX-1
rpy	T02974	Rhodococcus pyridinivorans
rpz	T01790	Rickettsia prowazekii Dachau
rqi	T05315	Rhodococcus qingshengii
rra	T01721	Rickettsia rickettsii Arizona
rrb	T01737	Rickettsia rickettsii Brazil
rrc	T01722	Rickettsia rickettsii Colombia
rrd	T03080	Rubrobacter radiotolerans
rre	T01786	Rickettsia rhipicephali
rrf	T02006	Rhodospirillum rubrum F11
rrh	T01723	Rickettsia rickettsii Hauke
rri	T00604	Rickettsia rickettsii Sheila Smith
rrj	T00643	Rickettsia rickettsii Iowa
rrm	T03662	Rickettsia rickettsii Morgan
rrn	T01738	Rickettsia rickettsii Hino
rro	T03989	Rhinopithecus roxellana (golden snub-nosed monkey)
rrr	T03663	Rickettsia rickettsii R
rrs	T00542	Roseiflexus sp. RS-1
rrt	T05521	Rhodococcus rhodochrous
rru	T00310	Rhodospirillum rubrum ATCC 11170
rry	T05845	Rathayibacter rathayi
rrz	T05142	Rhodococcus ruber
rsa	T00641	Renibacterium salmoninarum
rsb	T04623	Rhodoferax saidenbachensis
rsc	T01272	Ralstonia solanacearum CFBP2957
rsd	T00755	Uncultured Termite group 1 bacterium phylotype Rs-D17
rse	T02751	Ralstonia solanacearum FQY_4
rsh	T00484	Rhodobacter sphaeroides ATCC 17029
rsi	T01553	Runella slithyformis
rsk	T00844	Rhodobacter sphaeroides KD131
rsl	T01273	Ralstonia solanacearum PSI07
rsm	T02725	Ralstonia solanacearum CMR15
rsn	T02005	Ralstonia solanacearum Po82
rso	T00071	Ralstonia solanacearum GMI1000
rsp	T00284	Rhodobacter sphaeroides 2.4.1
rsq	T00512	Rhodobacter sphaeroides ATCC 17025
rss	T04863	Rhinolophus sinicus (Chinese rufous horseshoe bat)
rst	T04369	Rummeliibacillus stabekisii
rsu	T04143	Rhodovulum sulfidophilum
rsv	T01671	Rickettsia slovaca 13-B
rsw	T01801	Rickettsia slovaca D-CWPP
rta	T01544	Ramlibacter tataouinensis
rtb	T01810	Rickettsia typhi B9991CWPP
rtc	T04269	Rathayibacter toxicus WAC3373
rti	T04099	Rufibacter tibetensis
rtn	T04388	Rathayibacter tritici
rto	T02606	Ruminococcus torques
rtr	T02432	Rhizobium tropici
rtt	T01802	Rickettsia typhi TH1527
rtx	T03670	Rathayibacter toxicus 70137
rty	T00193	Rickettsia typhi Wilmington
rua	T05627	Ruegeria sp. AD91A
rud	T04326	Rufibacter sp. DG15C
rue	T05571	Ruegeria sp. NKC1-1
ruf	T03996	Rufibacter sp. DG31D
ruk	T04437	Hungateiclostridiaceae bacterium KB18
rum	T02601	Ruminococcus sp. SR1/5
run	T05537	Runella sp. HYN0085
rup	T05690	Runella sp. SP2
rus	T03158	Ruminococcus bicirculans
rva	T01353	Rhodomicrobium vannielii
rvi	T05765	Candidatus Rickettsiella viridis
rxy	T00368	Rubrobacter xylanophilus
saa	T00323	Staphylococcus aureus subsp. aureus USA300_FPR3757 (CA-MRSA)
saal	T02673	Candidatus Saccharimonas aalborgensis
sab	T00303	Staphylococcus aureus RF122
sac	T00225	Staphylococcus aureus subsp. aureus COL (MRSA)
sacc	T05928	Saccharomonospora sp. 31sw
sacd	T05813	Sulfodiicoccus acidiphilus
saci	T02393	Singulisphaera acidiphila
sacn	T02452	Sulfolobus acidocaldarius N8
sacr	T02453	Sulfolobus acidocaldarius Ron12/I
sacs	T02975	Sulfolobus acidocaldarius SUSAZ
sacz	T04107	Stenotrophomonas acidaminiphila
sad	T01124	Staphylococcus aureus subsp. aureus ED98
sae	T00557	Staphylococcus aureus subsp. aureus Newman
saf	T00876	Sulfurihydrogenibium azorense
sag	T00091	Streptococcus agalactiae 2603 (serotype V)
saga	T02281	Simiduia agarivorans
sagc	T03383	Streptococcus agalactiae 138spar
sage	T03516	Streptococcus agalactiae NGBS061
sagg	T03517	Streptococcus agalactiae NGBS572
sagi	T02704	Streptococcus agalactiae ILRI005
sagl	T02656	Streptococcus agalactiae 2-22 (serotype Ib)
sagm	T02703	Streptococcus agalactiae 09mas018883
sagn	T03518	Streptococcus agalactiae CNCTC 10/84
sagp	T03183	Streptococcus agalactiae 138P
sagq	T04155	Staphylococcus agnetis
sagr	T02705	Streptococcus agalactiae ILRI112
sags	T02338	Streptococcus agalactiae SA20
sagt	T03434	Streptococcus agalactiae COH1
sagu	T05219	Sagittula sp. P11
sah	T00556	Staphylococcus aureus subsp. aureus JH1 (MRSA/VSSA)
sai	T00251	Sulfolobus acidocaldarius DSM 639
saj	T00522	Staphylococcus aureus subsp. aureus JH9 (MRSA/VISA)
sak	T00278	Streptococcus agalactiae A909 (serotype Ia)
sal	T00361	Sphingopyxis alaskensis
sala	T05816	Salinibacterium sp. UTAS2018
salb	T02545	Streptomyces albidoflavus
salc	T05414	Salinibacterium sp. CGMCC 1.16371
salf	T05221	Streptomyces alboflavus
salg	T05622	Shewanella algae
salh	T05447	Salinimonas sp. HMF8227
sali	T02693	Salinarchaeum sp. Harcht-Bsk1
salj	T05230	Streptomyces albireticuli
sall	T03896	Streptomyces albulus ZPM
salm	T05624	Salinimonas sp. N102
saln	T05476	Salinisphaera sp. LB1
salo	T05779	Silicimonas algicola
salp	T05762	Salvelinus alpinus (Arctic char)
sals	T03823	Streptomyces albus DSM 41398
salt	T04614	Salegentibacter sp. T436
salu	T03082	Streptomyces albulus NK660
salv	T03063	Snodgrassella alvi
saly	T05946	Salinivibrio sp. YCSC6
sam	T00086	Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)
samb	T04055	Streptomyces ambofaciens
same	T04621	Sinorhizobium americanum
sams	T04800	Staphylococcus aureus MS4
samy	T03935	Sandaracinus amylolyticus
san	T00104	Streptococcus agalactiae NEM316 (serotype III)
sanc	T02829	Streptococcus anginosus C238
sang	T02828	Streptococcus anginosus C1051
sanh	T04917	Sinocyclocheilus anshuiensis
sans	T03658	Streptococcus anginosus SA1
sao	T00324	Staphylococcus aureus subsp. aureus NCTC8325
sap	T01746	Sulfobacillus acidophilus DSM 10332
sapi	T02945	Spiroplasma apis
saq	T00613	Salinispora arenicola
sar	T00182	Staphylococcus aureus subsp. aureus MRSA252 (MRSA)
sas	T00183	Staphylococcus aureus subsp. aureus MSSA476 (MSSA)
sasa	T04363	Salmo salar (Atlantic salmon)
sat	T00346	Syntrophus aciditrophicus
satk	T04286	Sinomonas atrocyanea
satr	T03973	Spiroplasma atrichopogonis
sau	T00051	Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
saua	T02810	Staphylococcus aureus subsp. aureus 55/2053
saub	T02339	Staphylococcus aureus 08BA02176 (LA-MRSA)
sauc	T02702	Staphylococcus aureus CA-347 (MRSA)
saud	T03491	Staphylococcus aureus 502A
saue	T02825	Staphylococcus aureus subsp. aureus 6850 (MSSA)
sauf	T03492	Staphylococcus aureus subsp. aureus FDAARGOS_5
saug	T03790	Staphylococcus aureus subsp. aureus SA268 (CA-MRSA)
saui	T03115	Staphylococcus aureus USA300-ISMMS1 (MRSA)
sauj	T03144	Staphylococcus aureus subsp. aureus ST228/10497 (MRSA)
sauk	T03145	Staphylococcus aureus subsp. aureus ST228/15532 (MRSA)
saum	T02618	Staphylococcus aureus M1 (MRSA)
saun	T02826	Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)
sauo	T04980	Streptomyces autolyticus
sauq	T03146	Staphylococcus aureus subsp. aureus ST228/16035 (MRSA)
saur	T02717	Staphylococcus aureus Bmb9393 (MRSA)
saus	T02849	Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)
saut	T03143	Staphylococcus aureus subsp. aureus ST228/10388 (MRSA)
sauu	T02850	Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)
sauv	T03147	Staphylococcus aureus subsp. aureus ST228/18412 (MRSA)
sauw	T03148	Staphylococcus aureus subsp. aureus ST228/16125 (MRSA)
saux	T03149	Staphylococcus aureus subsp. aureus ST228/18341 (MRSA)
sauy	T03150	Staphylococcus aureus subsp. aureus ST228/18583 (MRSA)
sauz	T02886	Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)
sav	T00052	Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)
saw	T00588	Staphylococcus aureus subsp. aureus Mu3 (MRSA/hetero-VISA)
sax	T00629	Staphylococcus aureus subsp. aureus USA300_TCH1516 (CA-MRSA)
say	T01576	Sulfobacillus acidophilus TPY
saz	T00445	Shewanella amazonensis
sba	T02139	Sulfurospirillum barnesii
sbac	T04690	Auricoccus indicus
sbag	T04605	Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17
sbb	T02014	Shewanella baltica BA175
sbc	T00700	Shigella boydii CDC 3083-94 (serotype 18)
sbd	T04194	Sphingobium baderi
sbe	T02942	Candidatus Saccharibacteria bacterium RAAC3_TM7_1
sbf	T05949	Silvanigrellales bacterium RF1110005
sbg	T01579	Salmonella bongori NCTC 12419
sbh	T01678	Streptomyces bingchenggensis
sbi	T01086	Sorghum bicolor (sorghum)
sbj	T05197	Shewanella bicestrii
sbl	T00478	Shewanella baltica OS155
sbm	T00571	Shewanella baltica OS185
sbn	T00622	Shewanella baltica OS195
sbo	T00301	Shigella boydii Sb227 (serotype 4)
sbp	T00803	Shewanella baltica OS223
sbq	T04350	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
sbr	T02602	Fretibacterium fastidiosum
sbs	T02013	Shewanella baltica OS117
sbt	T01725	Shewanella baltica OS678
sbu	T01439	Sphaerochaeta globosa
sbv	T03249	Salmonella bongori serovar 48:z41:--
sbw	T03624	Candidatus Tachikawaea gelatinosa
sbx	T05546	Sphingobacteriaceae bacterium GW460-11-11-14-LB5
sbz	T02733	Salmonella bongori N268-08
sca	T00863	Staphylococcus carnosus
scan	T05755	Serinus canaria (common canary)
scap	T03970	Staphylococcus capitis
scb	T01187	Streptomyces scabiei
scc	T01469	Sphaerochaeta coccoides
scd	T01573	Treponema caldarium
sce	T00005	Saccharomyces cerevisiae (budding yeast)
scf	T02115	Streptococcus parasanguinis FW213
scg	T02832	Streptococcus constellatus subsp. pharyngis C1050
sch	T01522	Sphingobium chlorophenolicum
sci	T02787	Streptomyces collinus
scj	T04084	Spiroplasma cantharicola
sck	T04628	Spiroplasma citri
scl	T00634	Sorangium cellulosum So ce56
scla	T05330	Spiroplasma clarkii
sclf	T04717	Streptomyces clavuligerus
sclo	T05301	Sphingobium cloacae
scm	T01331	Schizophyllum commune
scn	T02084	Solitalea canadensis
sco	T00085	Streptomyces coelicolor
scoh	T05008	Staphylococcus cohnii
scon	T02833	Streptococcus constellatus subsp. pharyngis C232
scos	T02834	Streptococcus constellatus subsp. pharyngis C818
scou	T05302	Spiroplasma corruscae
scp	T01545	Streptococcus parasanguinis ATCC 15912
scq	T03047	Spiroplasma culicicola
scr	T02676	Spiroplasma chrysopicola
scs	T02406	Stanieria cyanosphaera
sct	T01646	Streptomyces cattleya NRRL 8057 = DSM 46488
scu	T02718	Sorangium cellulosum So0157-2
scv	T04648	Staphylococcus condimenti
scw	T03687	Streptomyces cyaneogriseus
scx	T04240	Streptomyces sp. CdTB01
scy	T02095	Streptomyces cattleya NRRL 8057 = DSM 46488
scz	T04074	Streptomyces sp. CFMR 7
sda	T02269	Streptococcus dysgalactiae subsp. equisimilis RE378
sdc	T02333	Streptococcus dysgalactiae subsp. equisimilis AC-2713
sde	T00335	Saccharophagus degradans
sdf	T04296	Steroidobacter denitrificans
sdg	T02017	Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
sdi	T02741	Spiroplasma diminutum
sdl	T01126	Sulfurospirillum deleyianum
sdn	T00344	Shewanella denitrificans
sdo	T05893	Sulfitobacter donghicola
sdq	T02870	Streptococcus dysgalactiae subsp. equisimilis 167
sdr	T02857	Sulfuricella denitrificans
sds	T00932	Streptococcus dysgalactiae subsp. equisimilis GGS_124
sdt	T02008	Staphylococcus pseudintermedius ED99
sdu	T05606	Seriola dumerili (greater amberjack)
sdv	T02518	Streptomyces davaonensis
sdy	T00306	Shigella dysenteriae Sd197
sdz	T02933	Shigella dysenteriae 1617 (serotype 1)
sea	T00751	Salmonella enterica subsp. enterica serovar Agona SL483
seb	T01760	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
sec	T00240	Salmonella enterica subsp. enterica serovar Choleraesuis
sect	T02199	Secondary endosymbiont of Ctenarytaina eucalypti
sed	T00757	Salmonella enterica subsp. enterica serovar Dublin
sedi	T05780	Sedimentitalea sp. W43
seds	T03943	Sedimenticola thiotaurini
see	T00739	Salmonella enterica subsp. enterica serovar Newport SL254
seeb	T02739	Salmonella enterica subsp. enterica serovar Bareilly
seec	T02734	Salmonella enterica subsp. enterica serovar Cubana
seeh	T02736	Salmonella enterica subsp. enterica serovar Heidelberg 41578
seen	T02738	Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736
seep	T02790	Salmonella enterica subsp. enterica serovar Pullorum
sef	T01782	Salmonella enterica subsp. enterica serovar Typhimurium 798
seg	T00770	Salmonella enterica subsp. enterica serovar Gallinarum 287/91
sega	T02824	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67
seh	T00738	Salmonella enterica subsp. enterica serovar Heidelberg SL476
sehc	T02336	Secondary endosymbiont of Heteropsylla cubana
sei	T00862	Salmonella enterica subsp. enterica serovar Paratyphi C
sej	T01743	Salmonella enterica subsp. enterica serovar Typhimurium UK-1
sek	T00756	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
sel	T01740	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
sele	T04017	Selenomonas sp. oral taxon 478
selo	T04745	Selenomonas sp. oral taxon 136
selt	T04818	Selenomonas sp. oral taxon 920
sem	T01742	Salmonella enterica subsp. enterica serovar Typhimurium T000240
sen	T00492	Saccharopolyspora erythraea
sena	T03731	Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
senb	T02827	Salmonella enterica subsp. enterica serovar Bovismorbificans
senc	T03730	Salmonella enterica subsp. enterica serovar Tennessee
send	T02874	Salmonella enterica subsp. enterica serovar Typhimurium DT104
sene	T02868	Salmonella enterica subsp. enterica serovar Thompson
senh	T02735	Salmonella enterica subsp. enterica serovar Heidelberg CFSAN002069
seni	T03493	Salmonella enterica subsp. enterica serovar Typhimurium 138736
senj	T02479	Salmonella enterica subsp. enterica serovar Javiana
senl	T03817	Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1
senm	T04494	Secondary endosymbiont of Trabutina mannipara
senn	T02779	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
seno	T03732	Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
senq	T03761	Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
senr	T02869	Salmonella enterica subsp. enterica serovar Typhimurium DT2
sens	T02944	Salmonella enterica subsp. enterica serovar Agona 24249
sent	T02648	Salmonella enterica subsp. enterica serovar Typhi Ty21a
senv	T03760	Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
seny	T05311	Sodalis endosymbiont of Henestaris halophilus
seo	T01714	Salmonella enterica subsp. enterica serovar Typhimurium 14028S
seon	T04683	Seonamhaeicola sp. S2-3
sep	T00110	Staphylococcus epidermidis ATCC 12228
sepp	T03289	Staphylococcus epidermidis PM221
seps	T03343	Staphylococcus epidermidis SEI
seq	T00871	Streptococcus equi subsp. zooepidemicus H70
seqo	T04160	Staphylococcus equorum
sequ	T03306	Streptococcus equi subsp. zooepidemicus CY
ser	T00229	Staphylococcus epidermidis RP62A (MRSE)
sera	T05290	Serratia sp. ATCC 39006
serf	T03313	Serratia sp. FS14
seri	T03974	Spiroplasma eriocheiris
serj	T04436	Serinicoccus sp. JLT9
serm	T05477	Serratia sp. MYb239
serq	T05968	Serratia sp. ATCC 39006
sers	T03314	Serratia sp. SCBI
ses	T00627	Salmonella enterica subsp. arizonae
sesp	T02404	Saccharothrix espanaensis
set	T00776	Salmonella enterica subsp. enterica serovar Enteritidis P125109
setc	T02737	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921
setu	T02639	Salmonella enterica subsp. enterica serovar Typhimurium U288
seu	T00877	Streptococcus equi subsp. equi 4047
sev	T01715	Salmonella enterica subsp. enterica serovar Typhimurium D23580
sew	T00743	Salmonella enterica subsp. enterica serovar Schwarzengrund
sex	T01741	Salmonella enterica subsp. enterica serovar Typhi P-stx-12
sey	T01724	Salmonella enterica subsp. enterica serovar Typhimurium SL1344
sez	T00746	Streptococcus equi subsp. zooepidemicus MGCS10565
sezo	T02355	Streptococcus equi subsp. zooepidemicus ATCC 35246
sfa	T01647	Streptomyces pratensis
sfc	T01811	Spirochaeta africana
sfd	T02188	Sinorhizobium fredii USDA 257
sfe	T01883	Shigella flexneri 2002017 (serotype Fxv)
sfg	T04716	Serratia fonticola GS2
sfh	T01731	Sinorhizobium fredii HH103
sfi	T02650	Streptomyces fulvissimus
sfk	T05416	Streptomyces formicae
sfl	T00097	Shigella flexneri 301 (serotype 2a)
sfla	T04949	Sphingorhabdus sp. SMR4y
sfm	T04919	Scleropages formosus (Asian bonytongue)
sfn	T03267	Shigella flexneri 2003036
sfo	T02987	Chania multitudinisentens
sfq	T05459	Staphylococcus felis
sfr	T00395	Shewanella frigidimarina
sfs	T03315	Shigella flexneri Shi06HN006 (serotype Yv)
sft	T03751	Shigella flexneri NCTC1 (serotype 2a)
sfu	T00418	Syntrophobacter fumaroxidans
sfv	T00377	Shigella flexneri 8401 (serotype 5b)
sfw	T04030	Serratia fonticola DSM 4576
sfx	T00128	Shigella flexneri 2457T (serotype 2a)
sfz	T05283	Spiroplasma floricola
sga	T01171	Streptococcus gallolyticus UCN34
sgb	T04209	Streptomyces globisporus
sgc	T02248	Streptococcus agalactiae GD201008-001 (serotype Ia)
sgg	T01444	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069
sgh	T04918	Sinocyclocheilus grahami
sgi	T04372	Sphingopyxis granuli
sgl	T00316	Sodalis glossinidius (Glossina spp.)
sgn	T01764	Saprospira grandis
sgo	T00594	Streptococcus gordonii
sgp	T01673	Sphaerochaeta pleomorpha
sgr	T00691	Streptomyces griseus
sgs	T04729	Streptomyces griseochromogenes
sgt	T02018	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
sgu	T03327	Streptomyces glaucescens
sgv	T05165	Streptomyces gilvosporeus
sgy	T01429	Syntrophobotulus glycolicus
sha	T00250	Staphylococcus haemolyticus JCSC1435
shal	T04475	Sulfurospirillum halorespirans
shb	T02011	Salmonella enterica subsp. enterica serovar Heidelberg B182
shc	T01249	Staphylothermus hellenicus
shd	T03591	Sulfuritalea hydrogenivorans
she	T00388	Shewanella sp. MR-4
shew	T05404	Shewanella sp. WE21
shf	T04944	Shewanella sp. FDAARGOS_354
shg	T01450	Sphingobacterium sp. 21
shh	T03837	Staphylococcus haemolyticus Sh29/312/L2
shi	T00981	Slackia heliotrinireducens
shj	T04620	Spiroplasma helicoides
shl	T00654	Shewanella halifaxensis
shm	T00389	Shewanella sp. MR-7
shn	T00428	Shewanella sp. ANA-3
sho	T02531	Streptomyces hygroscopicus subsp. jinggangensis TL01
shp	T02015	Shewanella putrefaciens 200
shq	T04390	Shigella sp. PAMC 28760
shr	T02286	Sarcophilus harrisii (Tasmanian devil)
shs	T03127	Stereum hirsutum
sht	T03258	Sphingobacterium sp. ML3W
shu	T03578	Staphylococcus hyicus
shv	T03940	Salinicoccus halodurans
shw	T00453	Shewanella sp. W3-18-1
shx	T05004	Schistosoma haematobium
shy	T02063	Streptomyces hygroscopicus subsp. jinggangensis 5008
shyd	T05146	Sphingobium hydrophobicum
shz	T04278	Shinella sp. HZN7
sia	T00890	Sulfolobus islandicus M.14.25
sib	T02830	Streptococcus intermedius B196
sic	T02620	Sulfolobus islandicus LAL14/1
